City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
577,ajaccio,42.0,8.9167,39.25,87,75,6.91,6.91,1701840332
578,hobyo,5.3505,48.5268,78.58,65,65,16.42,16.42,1701840332
579,rawai,7.7797,98.3253,87.91,78,86,11.23,11.23,1701840332
580,lensk,60.7253,114.9278,-34.19,95,73,1.16,1.16,1701840333
581,punalur,9.0,76.9333,87.53,64,80,1.59,1.59,1701840333
582,nizhniy odes,63.6445,54.856,-20.56,100,82,2.51,2.51,1701840333
583,puerto leguizamo,-0.1934,-74.7819,74.68,86,90,2.13,2.13,1701840334
584,mian channun,30.44,72.3543,71.42,23,0,0.96,0.96,1701840335
585,solnechnyy,50.7214,136.6319,15.03,91,100,6.93,6.93,1701840335
586,sonargaon,23.6422,90.6023,77.05,73,100,3.78,3.78,1701840335
587,eyl,7.9803,49.8164,78.48,54,76,21.07,21.07,1701840336
588,annau,37.8876,58.516,51.3,82,100,6.91,6.91,1701840336
